timestamp,city,temperature,precipitation,wind_speed,humidity,country,wetbulb_temperature,climate_region,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
2022-08-20 00:00:00,Rabat-Salé-Kénitra,24.1,0.0,8.6,62,Morocco,66.16584345502189,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.661979442847225,1.3286097901373224,1.6062163260136468,0.3972
2022-08-20 01:00:00,Rabat-Salé-Kénitra,23.9,0.0,6.6,63,Morocco,66.09376468766364,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6615560825636564,1.3273274287373122,1.6062163260136468,0.3972
2022-08-20 02:00:00,Rabat-Salé-Kénitra,22.5,0.0,4.6,65,Morocco,64.2910772598288,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6503270813442306,1.2969832758205344,1.6062163260136468,0.3972
2022-08-20 03:00:00,Rabat-Salé-Kénitra,22.2,0.0,2.5,66,Morocco,64.03775822862004,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6486503999674025,1.2929854706879549,1.6062163260136468,0.3972
2022-08-20 04:00:00,Rabat-Salé-Kénitra,22.0,0.0,2.4,64,Morocco,63.22614568389948,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.643114582487986,1.2806186806270348,1.6062163260136468,0.3972
2022-08-20 05:00:00,Rabat-Salé-Kénitra,22.0,0.0,2.3,62,Morocco,62.74241994849602,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6396964023215972,1.27356831478577,1.6062163260136468,0.3972
2022-08-20 06:00:00,Rabat-Salé-Kénitra,22.0,0.0,2.2,60,Morocco,62.25539507975219,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6361652702630982,1.2667115486199658,1.6062163260136468,0.3972
2022-08-20 07:00:00,Rabat-Salé-Kénitra,22.7,0.0,3.0,56,Morocco,62.38372489690902,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6371044421296264,1.2684947579211538,1.6062163260136468,0.3972
2022-08-20 08:00:00,Rabat-Salé-Kénitra,24.1,0.0,3.8,52,Morocco,63.54819995102314,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6453411317380806,1.285445322578206,1.6062163260136468,0.3972
2022-08-20 09:00:00,Rabat-Salé-Kénitra,26.0,0.0,4.7,48,Morocco,65.36987698029736,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6571950257471206,1.314743210195085,1.6062163260136468,0.3972
2022-08-20 10:00:00,Rabat-Salé-Kénitra,27.7,0.0,7.6,45,Morocco,67.0489012712239,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.667006235690168,1.344751537317587,1.6062163260136468,0.3972
2022-08-20 11:00:00,Rabat-Salé-Kénitra,30.2,0.0,5.6,42,Morocco,69.80162482206296,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6807784976919615,1.4001858537362013,1.6062163260136468,0.3972
