timestamp,city,temperature,precipitation,wind_speed,humidity,country,wetbulb_temperature,climate_region,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
2023-08-07 00:00:00,Marrakech,28.2,0.0,3.2,44,Morocco,67.48436588299296,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.669376248594448,1.353005074976775,1.6062163260136468,0.3972
2023-08-07 01:00:00,Marrakech,27.6,0.0,3.6,45,Morocco,66.89813255196579,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.666168920140244,1.3419391392873887,1.6062163260136468,0.3972
2023-08-07 02:00:00,Marrakech,27.2,0.0,5.0,46,Morocco,66.60215866874347,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6645001173394134,1.3364857172320086,1.6062163260136468,0.3972
2023-08-07 03:00:00,Marrakech,26.5,0.0,6.1,48,Morocco,66.13594535082143,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6618040731000026,1.3280772249408996,1.6062163260136468,0.3972
2023-08-07 04:00:00,Marrakech,25.7,0.0,6.1,50,Morocco,65.48340606773434,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.657892119040431,1.3166814012879635,1.6062163260136468,0.3972
2023-08-07 05:00:00,Marrakech,25.2,0.0,5.8,51,Morocco,64.98928135034718,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.654822429286848,1.3083417432758626,1.6062163260136468,0.3972
2023-08-07 06:00:00,Marrakech,24.8,0.0,4.7,53,Morocco,64.91519671064756,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.654354206143542,1.3071128888231716,1.6062163260136468,0.3972
2023-08-07 07:00:00,Marrakech,25.1,0.0,4.3,48,Morocco,63.99094828762925,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6483379081647174,1.2922539120681311,1.6062163260136468,0.3972
2023-08-07 08:00:00,Marrakech,26.5,0.0,4.3,43,Morocco,64.62889100032348,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6525251590137624,1.3024166341113652,1.6062163260136468,0.3972
2023-08-07 09:00:00,Marrakech,29.2,0.0,5.0,37,Morocco,66.59462314207774,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6644571958071626,1.3363480416914406,1.6062163260136468,0.3972
2023-08-07 10:00:00,Marrakech,32.2,0.0,5.0,30,Morocco,68.05791456181855,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6723880580263648,1.3641716168085387,1.6062163260136468,0.3972
2023-08-07 11:00:00,Marrakech,35.2,0.0,7.2,24,Morocco,69.1849614444194,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6779429911483046,1.3870941254406617,1.6062163260136468,0.3972
2023-08-07 12:00:00,Marrakech,38.0,0.0,8.6,20,Morocco,70.4230597387065,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6834900666874797,1.413772197539522,1.6062163260136468,0.3972
