timestamp,city,temperature,precipitation,wind_speed,humidity,country,wetbulb_temperature,climate_region,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
2023-08-07 00:00:00,Tangier,22.7,0.0,20.2,79,Morocco,67.98455768204755,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6720098044801674,1.3627246588243205,1.6062163260136468,0.3972
2023-08-07 01:00:00,Tangier,22.2,0.0,18.4,83,Morocco,68.05891272344509,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.672393190822536,1.3641913433990154,1.6062163260136468,0.3972
2023-08-07 02:00:00,Tangier,22.0,0.0,18.0,84,Morocco,67.94293120513989,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6717942564175674,1.3619060270214756,1.6062163260136468,0.3972
2023-08-07 03:00:00,Tangier,21.8,0.0,17.6,85,Morocco,67.824934039887,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.671179678477654,1.3595951076785084,1.6062163260136468,0.3972
2023-08-07 04:00:00,Tangier,21.6,0.0,18.0,85,Morocco,67.47465960019791,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6693242057504998,1.3528189953068508,1.6062163260136468,0.3972
2023-08-07 05:00:00,Tangier,21.6,0.0,19.1,85,Morocco,67.47465960019791,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6693242057504998,1.3528189953068508,1.6062163260136468,0.3972
2023-08-07 06:00:00,Tangier,21.8,0.0,20.2,84,Morocco,67.59355948246136,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6699592578288645,1.355105068313597,1.6062163260136468,0.3972
2023-08-07 07:00:00,Tangier,23.4,0.0,22.0,76,Morocco,68.46787329439087,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.674464380373995,1.372359305544543,1.6062163260136468,0.3972
2023-08-07 08:00:00,Tangier,24.2,0.0,28.1,66,Morocco,67.3463172215233,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6686327043560782,1.3503675938397146,1.6062163260136468,0.3972
2023-08-07 09:00:00,Tangier,26.1,0.0,29.9,57,Morocco,68.06906793532633,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6724453899812095,1.3643920979614197,1.6062163260136468,0.3972
2023-08-07 10:00:00,Tangier,28.7,0.0,31.7,53,Morocco,71.03791331915562,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6860287968187877,1.4276032362514868,1.6062163260136468,0.3972
2023-08-07 11:00:00,Tangier,29.5,0.0,34.2,52,Morocco,71.98645722108765,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6896641665856986,1.449698673127481,1.6062163260136468,0.3972
2023-08-07 12:00:00,Tangier,30.1,0.0,35.6,51,Morocco,72.60983525963725,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6918675230343294,1.4647206031567368,1.6062163260136468,0.3972
