timestamp,city,temperature,precipitation,wind_speed,humidity,country,wetbulb_temperature,climate_region,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
2023-06-26 06:00:00,Oriental,20.1,0.0,2.5,45,Morocco,55.59018012591454,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.578801238125619,1.1972422923587835,1.6062163260136468,0.3972
2023-06-26 07:00:00,Oriental,21.4,0.0,2.2,37,Morocco,55.40305588974263,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.5769476448631332,1.1959474408755204,1.6062163260136468,0.3972
2023-06-26 08:00:00,Oriental,24.9,0.0,2.5,31,Morocco,58.47517081551736,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6056986106192763,1.2217364616642157,1.6062163260136468,0.3972
2023-06-26 09:00:00,Oriental,27.9,0.0,5.4,25,Morocco,60.23537255660117,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6205590803334362,1.2408607539451646,1.6062163260136468,0.3972
2023-06-26 10:00:00,Oriental,30.5,0.0,8.6,21,Morocco,61.73316191885653,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6322789314058552,1.2596285261940436,1.6062163260136468,0.3972
2023-06-26 11:00:00,Oriental,34.1,0.0,12.2,19,Morocco,65.08169220040237,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6554035589294167,1.3098824429981917,1.6062163260136468,0.3972
2023-06-26 12:00:00,Oriental,36.3,0.0,13.3,17,Morocco,66.49261845527964,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6638740697970356,1.3344901081389065,1.6062163260136468,0.3972
2023-06-26 13:00:00,Oriental,37.5,0.0,16.1,16,Morocco,67.23129356811617,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6680076560471109,1.3481848964077945,1.6062163260136468,0.3972
2023-06-26 14:00:00,Oriental,37.9,0.0,18.5,17,Morocco,68.37388419954247,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.673993983490888,1.370466975498979,1.6062163260136468,0.3972
2023-06-26 15:00:00,Oriental,37.1,0.0,20.6,19,Morocco,68.70857856780849,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6756537881075406,1.377246730366794,1.6062163260136468,0.3972
2023-06-26 16:00:00,Oriental,35.9,0.0,23.4,22,Morocco,68.9937594330837,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6770345302552814,1.3831138804148373,1.6062163260136468,0.3972
2023-06-26 17:00:00,Oriental,35.3,0.0,20.2,25,Morocco,69.83178906033473,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6809134978829603,1.400836212847377,1.6062163260136468,0.3972
2023-06-26 18:00:00,Oriental,33.4,0.0,17.3,27,Morocco,68.32333929973416,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6737396311213448,1.3694530639828888,1.6062163260136468,0.3972
2023-06-26 19:00:00,Oriental,31.0,0.0,14.8,30,Morocco,66.42669470540912,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6634951072379371,1.33329501913757,1.6062163260136468,0.3972
2023-06-26 20:00:00,Oriental,27.9,0.0,9.4,35,Morocco,64.03523539378253,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6486335793182876,1.2929459860160195,1.6062163260136468,0.3972
2023-06-26 21:00:00,Oriental,26.2,0.0,5.4,37,Morocco,62.29028022773894,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6364211925913137,1.2671946294006906,1.6062163260136468,0.3972
2023-06-26 22:00:00,Oriental,25.6,0.0,4.0,38,Morocco,61.74743026771067,Savana,7.997981552207428e-06,7.997981552207428e-06,12701.47161878066,46951.64681149265,5956.5522074281735,0.0,19507.3369569026,756498.9770497545,1399938.3085143664,65960.05606166784,296776.4540995095,374999.9999999999,65960.05606166784,0.0,1.6323864873570109,1.2598183420158064,1.6062163260136468,0.3972
