city,Annee,Mois,temperature,wind_speed,humidity,wetbulb_temperature,precipitation,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),climate_region
Béni Mellal - Khénifra,2022,8,30.020138888888887,8.657291666666667,34.84375,65.54364276222066,5.6,0.0023034186870357393,0.0023034186870357393,3658023.8262088303,13522074.281709881,1715487.035739314,0.0,5618113.043587949,217871705.3903293,403182232.8521375,18996496.14576034,85471618.78065874,107999999.99999997,18996496.14576034,0.0,1.6549655110390233,1.3265977367281074,1.6062163260136468,0.3972,Savana
Béni Mellal - Khénifra,2022,9,24.730277777777776,7.64375,49.480555555555554,62.98840887667965,20.07,0.005758546717589348,0.005758546717589348,9145059.565522077,33805185.70427471,4288717.5893482845,0.0,14045282.608969873,544679263.4758232,1007955582.1303438,47491240.36440085,213679046.95164686,269999999.99999994,47491240.36440085,0.0,1.6372958173763033,1.2883127628907365,1.6062163260136468,0.3972,Savana
Béni Mellal - Khénifra,2022,10,23.08266129032258,7.356451612903226,32.125,55.41930702394192,18.6,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.571741131769568,1.210531739160447,1.6062163260136468,0.3972,Savana
Béni Mellal - Khénifra,2022,11,17.970694444444444,6.075833333333334,35.9,49.619263975058665,2.6,0.005758546717589348,0.005758546717589348,9145059.565522077,33805185.70427471,4288717.5893482845,0.0,14045282.608969873,544679263.4758232,1007955582.1303438,47491240.36440085,213679046.95164686,269999999.99999994,47491240.36440085,0.0,1.507844965809262,1.1877679795044145,1.6062163260136468,0.3972,Savana
Béni Mellal - Khénifra,2022,12,13.721370967741937,6.81989247311828,53.76478494623656,47.53462426410905,91.12,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.479577303960859,1.1938821650334315,1.6062163260136468,0.3972,Savana
Béni Mellal - Khénifra,2023,1,10.02513440860215,5.639247311827957,53.041666666666664,41.47269132995784,14.8,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.3948604356219847,1.2184485420119404,1.6062163260136468,0.3972,Savana
Béni Mellal - Khénifra,2023,2,11.411309523809523,7.311011904761905,50.80357142857143,43.201169857510344,75.7,0.0053746436030833915,0.0053746436030833915,8535388.927820604,31551506.65732306,4002803.0833917325,0.0,13108930.435038548,508367312.577435,940758543.3216542,44325157.67344079,199433777.1548704,251999999.9999999,44325157.67344079,0.0,1.419506024080786,1.21012340100201,1.6062163260136468,0.39720000000000005,Savana
Béni Mellal - Khénifra,2023,3,17.568145161290325,6.488172043010753,45.696236559139784,50.79443635208848,6.07,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.522547186789064,1.1876458859974302,1.6062163260136468,0.3972,Savana
Béni Mellal - Khénifra,2023,4,21.683888888888887,8.135277777777777,36.077777777777776,53.86897066426397,22.0,0.005758546717589348,0.005758546717589348,9145059.565522077,33805185.70427471,4288717.5893482845,0.0,14045282.608969873,544679263.4758232,1007955582.1303438,47491240.36440085,213679046.95164686,269999999.99999994,47491240.36440085,0.0,1.5563837953059059,1.1998043417393125,1.6062163260136468,0.3972,Savana
Béni Mellal - Khénifra,2023,5,20.509408602150536,8.147580645161291,45.02956989247312,54.81386712079139,70.35,0.005950498274842326,0.005950498274842326,9449894.884372812,34932025.22775053,4431674.842326561,0.0,14513458.695935534,562835238.9250174,1041554101.5346886,49074281.70988087,220801681.85003507,278999999.99999994,49074281.70988087,0.0,1.5680614078147592,1.2000936090194558,1.6062163260136468,0.3972,Savana
